record_date,tot_pub_debt_out_amt,record_fiscal_year,record_calendar_year,record_calendar_day
2023-06-14,31954447260177.67,2023,2023,14
2023-06-13,31975294735877.95,2023,2023,13
2023-06-12,31926284136023.52,2023,2023,12
2023-06-09,31921148764836.99,2023,2023,09
2023-06-08,31921257581480.24,2023,2023,08
2023-06-07,31857005736347.57,2023,2023,07
2023-06-06,31855980740631.82,2023,2023,06
2023-06-05,31825678823229.44,2023,2023,05
2023-06-02,31467099921028.51,2023,2023,02
2023-06-01,31467639287894.39,2023,2023,01
2023-05-31,31464457465522.98,2023,2023,31
2023-05-30,31463988658765.75,2023,2023,30
2023-05-26,31464942311540.05,2023,2023,26
2023-05-25,31465482242065.47,2023,2023,25
2023-05-24,31461618625936.34,2023,2023,24
2023-05-23,31462154854902.95,2023,2023,23
2023-05-22,31460559910557.31,2023,2023,22
2023-05-19,31462147316778.94,2023,2023,19
2023-05-18,31462676535393.66,2023,2023,18
2023-05-17,31458034662625.50,2023,2023,17
2023-05-16,31458557909691.70,2023,2023,16
2023-05-15,31457107100707.45,2023,2023,15
2023-05-12,31458532169329.81,2023,2023,12
2023-05-11,31459051720110.08,2023,2023,11
2023-05-10,31457421959011.26,2023,2023,10
2023-05-09,31457939857155.51,2023,2023,09
2023-05-08,31457223984544.50,2023,2023,08
2023-05-05,31458774801619.75,2023,2023,05
2023-05-04,31459291842710.78,2023,2023,04
2023-05-03,31457486656663.50,2023,2023,03
2023-05-02,31457997078075.46,2023,2023,02
2023-05-01,31457398880450.85,2023,2023,01
2023-04-28,31457814648415.87,2023,2023,28
2023-04-27,31459619676179.65,2023,2023,27
2023-04-26,31458014678320.26,2023,2023,26
2023-04-25,31458521201235.23,2023,2023,25
2023-04-24,31457939840159.39,2023,2023,24
2023-04-21,31459469010160.55,2023,2023,21
2023-04-20,31459978914887.75,2023,2023,20
2023-04-19,31456614505854.44,2023,2023,19
2023-04-18,31457119565345.61,2023,2023,18
2023-04-17,31456445296319.41,2023,2023,17
2023-04-14,31457979446741.25,2023,2023,14
2023-04-13,31458490890759.40,2023,2023,13
2023-04-12,31456929921358.84,2023,2023,12
2023-04-11,31457439141191.15,2023,2023,11
2023-04-10,31456792146533.90,2023,2023,10
2023-04-07,31458324224063.06,2023,2023,07
2023-04-06,31458834911726.06,2023,2023,06
2023-04-05,31457303225023.58,2023,2023,05
2023-04-04,31457814382891.50,2023,2023,04
2023-04-03,31457162092035.15,2023,2023,03
2023-03-31,31458437575028.18,2023,2023,31
2023-03-30,31460917912000.64,2023,2023,30
2023-03-29,31459394182174.14,2023,2023,29
2023-03-28,31459895749667.19,2023,2023,28
2023-03-27,31459270694014.88,2023,2023,27
2023-03-24,31460784958919.28,2023,2023,24
2023-03-23,31461290165584.75,2023,2023,23
2023-03-22,31458378773492.71,2023,2023,22
2023-03-21,31458878060604.68,2023,2023,21
2023-03-20,31458247565973.04,2023,2023,20
2023-03-17,31459754258129.86,2023,2023,17
2023-03-16,31460256629224.57,2023,2023,16
